Temperature,Weather,Weather_Code,UpperWear_Male,LowerWear_Male,Footwear_Male,UpperWear_Female,LowerWear_Female,Footwear_Female
-18,Snow,76,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-18,Snow,77,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-18,Foggy,78,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-18,Foggy,79,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-18,Foggy,80,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-18,Haze,81,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-18,Haze,82,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-18,Haze,83,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-18,Windy,84,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-18,Windy,85,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-18,Windy,86,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-18,Tornado,87,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-18,Tornado,88,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-18,Tornado,89,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-17,Clear,90,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-17,Clear,91,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-17,Clear,92,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-17,Clouds,93,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-17,Clouds,94,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-17,Clouds,95,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-17,Rainy,96,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-17,Rainy,97,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-17,Rainy,98,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-17,Drizzle,99,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-17,Drizzle,100,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-17,Drizzle,101,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-17,Thunderstorm,102,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-17,Thunderstorm,103,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-17,Thunderstorm,104,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-17,Snow,105,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-17,Snow,106,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-17,Snow,107,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-17,Foggy,108,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-17,Foggy,109,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-17,Foggy,110,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-17,Haze,111,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-17,Haze,112,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-17,Haze,113,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-17,Windy,114,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-17,Windy,115,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-17,Windy,116,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-17,Tornado,117,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-17,Tornado,118,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-17,Tornado,119,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-16,Clear,120,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-16,Clear,121,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-16,Clear,122,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-16,Clouds,123,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-16,Clouds,124,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-16,Clouds,125,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-16,Rainy,126,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-16,Rainy,127,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-16,Rainy,128,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-16,Drizzle,129,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-16,Drizzle,130,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-16,Drizzle,131,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-16,Thunderstorm,132,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-16,Thunderstorm,133,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-16,Thunderstorm,134,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-16,Snow,135,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-16,Snow,136,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-16,Snow,137,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-16,Foggy,138,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-16,Foggy,139,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-16,Foggy,140,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-16,Haze,141,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-16,Haze,142,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-16,Haze,143,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-16,Windy,144,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-16,Windy,145,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-16,Windy,146,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-16,Tornado,147,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-16,Tornado,148,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-16,Tornado,149,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-15,Clear,150,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-15,Clear,151,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-15,Clear,152,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-15,Clouds,153,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-15,Clouds,154,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-15,Clouds,155,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-15,Rainy,156,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-15,Rainy,157,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-15,Rainy,158,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-15,Drizzle,159,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-15,Drizzle,160,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-15,Drizzle,161,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-15,Thunderstorm,162,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-15,Thunderstorm,163,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-15,Thunderstorm,164,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-15,Snow,165,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-15,Snow,166,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-15,Snow,167,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-15,Foggy,168,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-15,Foggy,169,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-15,Foggy,170,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-15,Haze,171,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-15,Haze,172,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-15,Haze,173,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-15,Windy,174,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-15,Windy,175,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-15,Windy,176,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-15,Tornado,177,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-15,Tornado,178,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-15,Tornado,179,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-14,Clear,180,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-14,Clear,181,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-14,Clear,182,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-14,Clouds,183,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-14,Clouds,184,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-14,Clouds,185,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-14,Rainy,186,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-14,Rainy,187,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-14,Rainy,188,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-14,Drizzle,189,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-14,Drizzle,190,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-14,Drizzle,191,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-14,Thunderstorm,192,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-14,Thunderstorm,193,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-14,Thunderstorm,194,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-14,Snow,195,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-14,Snow,196,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-14,Snow,197,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-14,Foggy,198,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-14,Foggy,199,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-14,Foggy,200,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-14,Haze,201,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-14,Haze,202,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-14,Haze,203,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-14,Windy,204,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-14,Windy,205,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-14,Windy,206,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-14,Tornado,207,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-14,Tornado,208,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-14,Tornado,209,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-13,Clear,210,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-13,Clear,211,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-13,Clear,212,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-13,Clouds,213,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-13,Clouds,214,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-13,Clouds,215,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-13,Rainy,216,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-13,Rainy,217,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-13,Rainy,218,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-13,Drizzle,219,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-13,Drizzle,220,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-13,Drizzle,221,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-13,Thunderstorm,222,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-13,Thunderstorm,223,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-13,Thunderstorm,224,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-13,Snow,225,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-13,Snow,226,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-13,Snow,227,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-13,Foggy,228,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-13,Foggy,229,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-13,Foggy,230,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-13,Haze,231,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-13,Haze,232,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-13,Haze,233,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-13,Windy,234,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-13,Windy,235,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-13,Windy,236,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-13,Tornado,237,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-13,Tornado,238,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-13,Tornado,239,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-12,Clear,240,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-12,Clear,241,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-12,Clear,242,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-12,Clouds,243,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-12,Clouds,244,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-12,Clouds,245,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-12,Rainy,246,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-12,Rainy,247,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-12,Rainy,248,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-12,Drizzle,249,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-12,Drizzle,250,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-12,Drizzle,251,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-12,Thunderstorm,252,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-12,Thunderstorm,253,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-12,Thunderstorm,254,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-12,Snow,255,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-12,Snow,256,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-12,Snow,257,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-12,Foggy,258,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-12,Foggy,259,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-12,Foggy,260,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-12,Haze,261,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-12,Haze,262,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-12,Haze,263,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-12,Windy,264,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-12,Windy,265,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-12,Windy,266,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-12,Tornado,267,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-12,Tornado,268,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-12,Tornado,269,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
